ID,MP ID,MP name,party,city,row_number,invoice_reference,invoice_issue_date,provider,provider_U,product,purpose,purpose_CAT,payment_date,net_amount,VAT_amount,gross_amount,claimed_amount,links
155,614,Géhl Attila,MKSZU,Debrecen,1.0,1521/00258,2014-03-13,LUKOIL KFT,LUKOIL,üzemanyag,Debrecen-Szob-Debrecen,K312D,2014-03-13,,,24399.0,24399.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
156,614,Géhl Attila,MKSZU,Debrecen,2.0,0173/00237,2014-03-18,STENSoil KFT,STENSOIL KFT,üzemanyag,Debrecen-Budapest,K312D,2014-03-18,,,16734.0,16734.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
157,614,Géhl Attila,MKSZU,Debrecen,3.0,1529/00187,2014-03-21,LUKOIL KFT,LUKOIL,üzemanyag,választókörzet bejárása,K312D,2014-03-21,,,30950.0,30950.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
158,614,Géhl Attila,MKSZU,Debrecen,4.0,1531/00178,2014-03-23,LUKOIL KFT,LUKOIL,üzemanyag,választókörzet bejárása,K312D,2014-03-23,,,32973.0,32973.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
159,614,Géhl Attila,MKSZU,Debrecen,5.0,1536/00033,2014-03-27,LUKOIL KFT,LUKOIL,üzemanyag,Debrecen-Dombóvár,K312D,2014-03-27,,,32000.0,32000.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
160,614,Géhl Attila,MKSZU,Debrecen,6.0,1536/00184,2014-03-28,LUKOIL KFT,LUKOIL,üzemanyag,Debrecen-Budapest-Debrecen,K312D,2014-03-28,,,20029.0,20029.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
161,614,Géhl Attila,MKSZU,Debrecen,7.0,1537/00122,2014-03-29,LUKOIL KFT,LUKOIL,üzemanyag,Debrecen-Szob-Debrecen,K312D,2014-03-29,,,33153.0,33153.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
162,614,Géhl Attila,MKSZU,Debrecen,8.0,1539/00201,2014-03-30,LUKOIL KFT,LUKOIL,üzemanyag,választókörzet bejárása,K312D,2014-03-30,,,33153.0,33153.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
164,1022,Tubák István,JOBBIK,Budapest X.ker.,2.0,NQ9SB553217,2014-03-25,MESTER-KER KFT.,MESTER KER KFT,Óriásplakát,Politikai reklám,K342,2014-04-03,140100.0,37827.0,177927.0,177927.0,https://drive.google.com/file/d/0B1ve-jHPt_yfRXI4VjZYaTRvNzA/view?usp=drivesdk
165,1022,Tubák István,JOBBIK,Budapest X.ker.,3.0,14/1112,2014-03-26,PHARMAPRESS NY. KFT.,PHARMA PRESS KFT,A/1 Plakát,,K342,2014-04-03,26000.0,7020.0,33020.0,33020.0,https://drive.google.com/file/d/0B1ve-jHPt_yfRXI4VjZYaTRvNzA/view?usp=drivesdk
166,1022,Tubák István,JOBBIK,Budapest X.ker.,4.0,14/1107,2014-03-26,PHARMAPRESS ,PHARMA PRESS KFT,A/1 Plakát,,K342,2014-04-03,31200.0,8424.0,39624.0,39624.0,https://drive.google.com/file/d/0B1ve-jHPt_yfRXI4VjZYaTRvNzA/view?usp=drivesdk
167,1022,Tubák István,JOBBIK,Budapest X.ker.,5.0,14/0019,2014-03-30,OOH WEB KFT.,OOH WEB KFT,Promo van reklámkampány,,K342,2014-04-02,159842.0,43157.0,202999.0,202999.0,https://drive.google.com/file/d/0B1ve-jHPt_yfRXI4VjZYaTRvNzA/view?usp=drivesdk
168,1022,Tubák István,JOBBIK,Budapest X.ker.,6.0,SZK100000396/2014,2014-03-17,LIFTREKLÁM KFT.,LIFTREKLÁM KFT,"Politikai reklám, március",,K342,2014-03-25,359002.0,96931.0,455933.0,455933.0,https://drive.google.com/file/d/0B1ve-jHPt_yfRXI4VjZYaTRvNzA/view?usp=drivesdk
121,617,Alföldi Lakatos Gábor,MCP,Debrecen,6.0,712/2014,2014-03-31,FÁBIÁN NY.BT.,FÁBIÁN NYBT,KIADV.SZERK.,KIADVÁNY KÉSZ,K342,2014-04-03,185000.0,9250.0,194250.0,194250.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbVVISVRaZTJSb2M/view?usp=drivesdk
163,1022,Tubák István,JOBBIK,Budapest X.ker.,1.0,kihagyva,,,,,,,,,,,,https://drive.google.com/file/d/0B1ve-jHPt_yfRXI4VjZYaTRvNzA/view?usp=drivesdk
170,766,Szécsi Miklós,EU. ROM,Nyírbátor,1.0,2014/000023,2014-03-10,EVENTS E KFT.,EVENTS ENTERTAINMENT KFT,Adminisztratív f.e.,2/K.342.,K342,2014-03-28,271653.0,73346.0,344999.0,344999.0,https://drive.google.com/file/d/0B1ve-jHPt_yfUXg3RjlSMmZ2M2M/view?usp=drivesdk
172,766,Szécsi Miklós,EU. ROM,Nyírbátor,3.0,2582/00305,2014-03-14,OHV Hungária Kft.,OHV HUNGÁRIA KFT,2 OMV Diesel,2/312/d,K312D,2014-03-14,14582.0,27.0,19982.0,19982.0,https://drive.google.com/file/d/0B1ve-jHPt_yfUXg3RjlSMmZ2M2M/view?usp=drivesdk
173,860,Ács Sándor Józsefné,ÉLŐLÁNC,Sárbogárd,1.0,BI2SA 0255540,2014-03-14,BEKLAAR Kft.,BEKLAAR KFT,Rendezvény technikai szolgáltatás,Rendezvény hangosítás,K342,2014-03-21,53000.0,14310.0,67310.0,67310.0,https://drive.google.com/file/d/0B1ve-jHPt_yfSnIzTWtEM0lockU/view?usp=drivesdk
174,860,Ács Sándor Józsefné,ÉLŐLÁNC,Sárbogárd,2.0,20140147,2014-03-20,OM Art Design Studio Kft.,OM ART DESIGN STUDIO KFT,"Grafikai tervezés, mobilprezentációs eszközök",Megállító táblák,K342,2014-03-21,196900.0,53163.0,250063.0,250063.0,https://drive.google.com/file/d/0B1ve-jHPt_yfSnIzTWtEM0lockU/view?usp=drivesdk
175,860,Ács Sándor Józsefné,ÉLŐLÁNC,Sárbogárd,3.0,UK1SA 6639627,2014-03-20,Ibolya Virág Ajándék,IBOLYA VIRÁG AJÁNDÉK,Élővirágdísz,Rendezvény díszítés,K342,2014-03-21,12559.0,3391.0,15950.0,15950.0,https://drive.google.com/file/d/0B1ve-jHPt_yfSnIzTWtEM0lockU/view?usp=drivesdk
176,860,Ács Sándor Józsefné,ÉLŐLÁNC,Sárbogárd,4.0,0300098/2014,2014-03-20,Bogárd és Vidéke Lapkiadó és Nyomda,Bogárd és Vidéke Lapkiadó és Nyomda,"Szórólap, plakát, hirdetés",szóróanyag,K342,2014-03-28,106970.0,28882.0,135852.0,135852.0,https://drive.google.com/file/d/0B1ve-jHPt_yfSnIzTWtEM0lockU/view?usp=drivesdk
